week,bad_ratio_threshold,n_bad,sigma_hits,blend_hits,sigma_cost,blend_cost
2025-09-08,0.5,17,8,10,8060,6100
2025-09-08,0.6,21,9,11,9480,7520
2025-09-08,0.7,33,10,12,15700,13740
2025-09-08,0.8,51,11,13,25520,23560
2025-09-15,0.5,18,7,8,9640,8660
2025-09-15,0.6,27,9,11,13080,11120
2025-09-15,0.7,36,9,11,18480,16520
2025-09-15,0.8,49,9,12,26280,23340
2025-09-22,0.5,18,6,7,10620,9640
2025-09-22,0.6,28,10,12,12700,10740
2025-09-22,0.7,38,13,15,15760,13800
2025-09-22,0.8,50,13,15,22960,21000
2025-09-29,0.5,23,11,14,8720,5780
2025-09-29,0.6,27,11,14,11120,8180
2025-09-29,0.7,36,12,15,15540,12600
2025-09-29,0.8,47,12,15,22140,19200
2025-10-06,0.5,21,10,11,8500,7520
2025-10-06,0.6,25,11,13,9920,7960
2025-10-06,0.7,30,11,13,12920,10960
2025-10-06,0.8,45,12,14,20940,18980
2025-10-13,0.5,20,5,12,12800,5940
2025-10-13,0.6,27,6,13,16020,9160
2025-10-13,0.7,35,7,14,19840,12980
2025-10-13,0.8,45,8,15,24860,18000
2025-10-20,0.5,22,6,9,13020,10080
2025-10-20,0.6,33,10,13,15700,12760
2025-10-20,0.7,38,10,13,18700,15760
2025-10-20,0.8,49,10,13,25300,22360
2025-10-27,0.5,29,11,13,12320,10360
2025-10-27,0.6,33,12,14,13740,11780
2025-10-27,0.7,42,13,15,18160,16200
2025-10-27,0.8,49,13,15,22360,20400
2025-11-03,0.5,24,8,9,12260,11280
2025-11-03,0.6,37,11,13,17120,15160
2025-11-03,0.7,42,13,15,18160,16200
2025-11-03,0.8,51,14,15,22580,21600
2025-11-10,0.5,32,11,12,14120,13140
2025-11-10,0.6,40,13,14,16960,15980
2025-11-10,0.7,48,13,14,21760,20780
2025-11-10,0.8,56,13,14,26560,25580
2025-11-17,0.5,26,6,8,15420,13460
2025-11-17,0.6,40,12,14,17940,15980
2025-11-17,0.7,44,12,14,20340,18380
2025-11-17,0.8,57,12,14,28140,26180
2025-11-24,0.5,25,8,11,12860,9920
2025-11-24,0.6,34,9,12,17280,14340
2025-11-24,0.7,44,10,12,22300,20340
2025-11-24,0.8,55,10,12,28900,26940
2025-12-01,0.5,21,5,7,13400,11440
2025-12-01,0.6,29,7,9,16240,14280
2025-12-01,0.7,37,8,10,20060,18100
2025-12-01,0.8,47,9,11,25080,23120
2025-12-08,0.5,21,6,9,12420,9480
2025-12-08,0.6,31,7,10,17440,14500
2025-12-08,0.7,39,7,10,22240,19300
2025-12-08,0.8,51,8,11,28460,25520
2025-12-15,0.5,19,4,6,13180,11220
2025-12-15,0.6,34,5,7,21200,19240
2025-12-15,0.7,42,6,8,25020,23060
2025-12-15,0.8,54,6,8,32220,30260
2025-12-22,0.5,19,6,8,11220,9260
2025-12-22,0.6,30,10,12,13900,11940
2025-12-22,0.7,38,12,14,16740,14780
2025-12-22,0.8,53,12,14,25740,23780
2025-12-29,0.5,22,8,12,11060,7140
2025-12-29,0.6,30,10,14,13900,9980
2025-12-29,0.7,36,10,14,17500,13580
2025-12-29,0.8,47,10,14,24100,20180
2026-01-05,0.5,24,9,11,11280,9320
2026-01-05,0.6,29,12,15,11340,8400
2026-01-05,0.7,34,12,15,14340,11400
2026-01-05,0.8,45,12,15,20940,18000
2026-01-12,0.5,24,6,10,14220,10300
2026-01-12,0.6,30,7,11,16840,12920
2026-01-12,0.7,33,8,12,17660,13740
2026-01-12,0.8,42,8,12,23060,19140
2026-01-19,0.5,23,3,10,16560,9700
2026-01-19,0.6,28,4,11,18580,11720
2026-01-19,0.7,32,6,13,19020,12160
2026-01-19,0.8,41,7,14,23440,16580
2026-01-26,0.5,21,3,4,15360,14380
2026-01-26,0.6,26,4,5,17380,16400
2026-01-26,0.7,37,6,7,22020,21040
2026-01-26,0.8,48,6,7,28620,27640
